Attempt ID,Started,Ended,Time
243,06 Jun 20 20:13:38,06 Jun 20 20:27:56,
244,06 Jun 20 20:35:51,06 Jun 20 20:36:44,
245,08 Jun 20 19:22:42,08 Jun 20 19:34:43,
246,08 Jun 20 19:57:07,08 Jun 20 20:20:40,
247,08 Jun 20 20:22:02,08 Jun 20 20:38:29,
248,08 Jun 20 20:39:47,08 Jun 20 20:51:22,
249,08 Jun 20 23:20:48,08 Jun 20 23:23:21,
250,08 Jun 20 23:24:54,08 Jun 20 23:29:47,
251,08 Jun 20 23:31:33,08 Jun 20 23:41:08,
252,10 Jun 20 19:04:52,10 Jun 20 19:11:30,
253,10 Jun 20 19:15:34,10 Jun 20 19:17:59,
254,10 Jun 20 19:19:20,10 Jun 20 19:31:36,
255,10 Jun 20 19:46:54,10 Jun 20 19:56:55,
256,10 Jun 20 19:58:12,10 Jun 20 20:06:51,
257,11 Jun 20 20:53:28,11 Jun 20 20:54:33,
258,11 Jun 20 20:56:14,11 Jun 20 20:56:18,
259,11 Jun 20 20:57:03,11 Jun 20 21:06:21,
260,11 Jun 20 21:07:56,11 Jun 20 21:09:04,
261,11 Jun 20 21:10:24,11 Jun 20 21:14:27,
262,11 Jun 20 21:15:37,11 Jun 20 21:16:47,
263,11 Jun 20 21:18:05,11 Jun 20 21:25:44,
264,11 Jun 20 21:28:28,11 Jun 20 21:29:25,
265,11 Jun 20 21:31:08,11 Jun 20 21:32:09,
266,11 Jun 20 21:33:19,11 Jun 20 21:41:02,
267,11 Jun 20 21:42:19,11 Jun 20 21:44:44,
268,11 Jun 20 21:46:06,11 Jun 20 21:47:10,
269,11 Jun 20 21:48:23,11 Jun 20 21:55:34,
270,11 Jun 20 21:56:55,11 Jun 20 21:57:58,
271,11 Jun 20 21:59:16,11 Jun 20 22:18:52,
272,12 Jun 20 18:55:44,12 Jun 20 18:58:10,
273,12 Jun 20 18:59:31,12 Jun 20 19:14:51,
274,12 Jun 20 19:18:32,12 Jun 20 20:03:55,
275,12 Jun 20 20:08:38,12 Jun 20 20:16:04,
276,14 Jun 20 18:57:22,14 Jun 20 19:28:39,00:31:15.59
277,15 Jun 20 19:44:10,15 Jun 20 20:13:52,00:29:40.36
278,17 Jun 20 18:40:42,17 Jun 20 18:43:09,
279,17 Jun 20 18:45:16,17 Jun 20 18:47:40,
280,17 Jun 20 18:49:07,17 Jun 20 18:50:14,
281,17 Jun 20 18:51:31,17 Jun 20 18:57:53,
282,17 Jun 20 19:01:18,17 Jun 20 19:09:01,
283,17 Jun 20 19:10:14,17 Jun 20 19:12:42,
284,17 Jun 20 19:13:17,17 Jun 20 19:13:21,
285,17 Jun 20 19:14:34,17 Jun 20 19:15:36,
286,17 Jun 20 19:16:52,17 Jun 20 19:19:13,
287,17 Jun 20 19:21:00,17 Jun 20 19:26:00,
288,25 Jun 20 16:42:08,25 Jun 20 16:44:28,
289,25 Jun 20 16:45:51,25 Jun 20 16:48:20,
290,25 Jun 20 16:49:35,25 Jun 20 16:56:13,
291,25 Jun 20 16:57:16,25 Jun 20 17:13:05,
292,25 Jun 20 17:14:22,25 Jun 20 17:21:59,
293,25 Jun 20 17:23:12,25 Jun 20 17:26:04,
294,25 Jun 20 17:27:32,25 Jun 20 17:39:07,
295,25 Jun 20 17:40:23,25 Jun 20 17:43:14,
296,25 Jun 20 17:44:38,25 Jun 20 17:45:43,
297,25 Jun 20 17:46:55,25 Jun 20 17:55:22,
298,25 Jun 20 17:57:41,25 Jun 20 18:06:34,
299,25 Jun 20 18:07:59,25 Jun 20 18:09:08,
300,25 Jun 20 18:10:18,25 Jun 20 18:11:25,
301,25 Jun 20 18:12:28,25 Jun 20 18:15:00,
302,25 Jun 20 18:16:39,25 Jun 20 18:22:46,
303,25 Jun 20 18:24:02,25 Jun 20 18:39:18,
304,25 Jun 20 18:43:50,25 Jun 20 18:44:49,
305,25 Jun 20 18:46:07,25 Jun 20 19:30:06,
306,25 Jun 20 19:36:59,25 Jun 20 19:37:03,
307,01 Jul 20 17:45:08,01 Jul 20 17:47:56,
308,01 Jul 20 17:49:20,01 Jul 20 17:57:13,
309,01 Jul 20 17:58:27,01 Jul 20 18:00:55,
310,01 Jul 20 18:02:20,01 Jul 20 18:03:27,
311,01 Jul 20 18:04:44,01 Jul 20 18:07:07,
312,01 Jul 20 18:08:38,01 Jul 20 18:28:23,
313,01 Jul 20 18:29:55,01 Jul 20 18:32:16,
314,01 Jul 20 18:33:40,01 Jul 20 18:36:07,
315,01 Jul 20 18:37:35,01 Jul 20 18:39:57,
316,01 Jul 20 18:41:14,01 Jul 20 18:50:21,
317,01 Jul 20 18:51:34,01 Jul 20 18:59:18,
318,01 Jul 20 19:00:28,01 Jul 20 19:02:52,
319,01 Jul 20 19:18:38,01 Jul 20 19:27:39,
320,01 Jul 20 19:28:58,01 Jul 20 19:31:17,
321,01 Jul 20 19:32:39,01 Jul 20 19:35:03,
322,01 Jul 20 19:36:28,01 Jul 20 19:42:54,
323,01 Jul 20 19:44:11,01 Jul 20 19:58:06,
324,03 Jul 20 17:54:46,03 Jul 20 17:57:15,
325,03 Jul 20 17:58:38,03 Jul 20 18:01:03,
326,03 Jul 20 18:02:22,03 Jul 20 18:04:53,
327,03 Jul 20 18:06:14,03 Jul 20 18:08:46,
328,03 Jul 20 18:10:08,03 Jul 20 18:20:55,
329,03 Jul 20 18:29:16,03 Jul 20 18:31:41,
